School_Id,Org_Name,Telephone,Fax,Email,Contact1_Name,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Area,Org_Type,Definition,Authority,CoEd_Status,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Area_Unit,Ward,Col_Id,Col_Name,Longitude,Latitude,Decile,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International
1,Te Kura o Te Kao,09 409 7813,,office@tekao.school.nz,Hemi Takawe,http://www.tekuraotekao.school.nz,6603 Far North Road,,Te Kao,6603 Far North Road RD 4,,Kaitaia,484,Rural Area,Full Primary,Designated Character School,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,North Cape,Te Hiku Ward,99051,Te Kāhui Tai Kura o Te Hiku,172.965949,-34.654705,2,00:00.0,43,0,43,0,0,0,0,0
2,Taipa Area School,09 406 0159,09 406 1096,office@taipa.school.nz,Doreen Bailey,http://www.taipa.school.nz,578 State Highway 10,,Taipa,578 State Highway 10,,Taipa,420,Minor Urban Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Taipa Bay-Mangonui,Te Hiku Ward,99051,Te Kāhui Tai Kura o Te Hiku,173.464303,-34.994702,2,00:00.0,293,41,238,10,4,0,0,0
3,Kaitaia College,09 408 0190,09 408 0193,admin@kaitaiacollege.school.nz,Jack Saxon,http://www.schoolground.co.nz/kaitaiacol,53 Redan Road,,Kaitaia,P O Box 265,,Kaitaia,441,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaitaia West,Te Hiku Ward,99051,Te Kāhui Tai Kura o Te Hiku,173.258701,-35.121315,2,00:00.0,794,179,592,7,11,0,5,0
4,Whangaroa College,09 405 0199,09 405 0288,office@whc.school.nz,Jack Anderson,http://www.whangaroacollege.school.nz,4157 State Highway 10,,Kaeo,P O Box 126,,Kaeo,448,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaeo,Bay of Islands-Whangaroa Ward,99197,Whaingaroa Kāhui Ako,173.786951,-35.100854,1,00:00.0,74,16,57,1,0,0,0,0
5,Kerikeri High School,09 407 8916,09 407 9323,enquiries@kerikerihigh.ac.nz,Elizabeth Forgie,http://www.kerikerihigh.ac.nz,48 Hone Heke Road,,Kerikeri,P O Box 92,,Kerikeri,245,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kerikeri,Bay of Islands-Whangaroa Ward,,,173.95539,-35.228347,6,00:00.0,1505,919,422,22,54,17,5,66
6,Broadwood Area School,09 409 5878,09 409 5877,maryanne@broadwood.school.nz,Danelle Smith (Acting),http://broadwood.school.nz,1041 Broadwood Road,,Broadwood,P O Box 12,,Broadwood,462,Rural Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,99148,Hokianga Community of Learning,173.394991,-35.26124,1,00:00.0,76,5,68,2,1,0,0,0
7,Okaihau College,09 401 9030,09 401 9793,admin@okaihau-college.school.nz,Alan Forgie,http://www.okaihau-college.school.nz,58 Settlers Way,,Okaihau,58 Settlers Way RD 1,,Okaihau,475,Rural Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Okaihau,Kaikohe-Hokianga Ward,99060,Te Arahura Community of Learning,173.765765,-35.323752,2,00:00.0,422,130,278,5,6,2,1,0
8,Bay of Islands College,09 404 1055,09 404 1048,drl@boic.school.nz,John Paitai,http://www.boic.school.nz,1-9 Derrick Road,,Kawakawa,P O Box 58,,Kawakawa,243,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kawakawa,Bay of Islands-Whangaroa Ward,99117,Peowhairangi Community of Learning,174.075903,-35.379495,2,00:00.0,322,20,293,4,5,0,0,0
9,Northland College,09 401 3200,09 401 2378,admin@northlandcollege.school.nz,John Kendal,http://www.northlandcollege.school.nz,62 Mangakahia Road,,Kaikohe,P O Box 261,,Kaikohe,440,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Kaikohe,Kaikohe-Hokianga Ward,99060,Te Arahura Community of Learning,173.809918,-35.413882,1,00:00.0,290,3,272,12,2,0,1,0
10,Te Kura Taumata o Panguru,09 409 5701,09 409 5703,office@panguru.school.nz,Mina Pomare-Peita,http://www.panguru.school.nz,2178 West Coast Road,,Panguru,2178 West Coast Road RD 2,,Kohukohu,492,Rural Area,Composite,Not Applicable,State,Co-Educational,Far North District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Hokianga North,Kaikohe-Hokianga Ward,,,173.383069,-35.38052,1,00:00.0,96,0,96,0,0,0,0,0
